MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Planned EU amount,N+3 De-commitment Amount,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of additional initial pre-financing,Net additional initial pre-financing,Total net initial pre-financing,Cumulative annual pre-financing,Annual pre-financing covered by expenditure,Recovery of annual pre-financing,Net annual pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
ES,Spain,2014ES16RFOP015,Galicia  - ERDF,ERDF,More developed,2018,"913,687,840.00",0.00,"913,687,840.00","29,031,350.25",0.00,0.00,0.00,"29,031,350.25","61,956,936.37",0.00,"38,362,855.69","23,594,080.68","119,923,828.45",0.00,"119,923,828.45","172,549,259.38",18.88,18.88
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,YEI,,2018,"2,723,321,500.00",0.00,"2,723,321,500.00","66,044,742.06","273,613,931.35","273,613,931.35",0.00,"66,044,742.06","162,164,750.40",0.00,"87,273,409.14","74,891,341.26","628,426,796.37",0.00,"628,426,796.37","769,362,879.69",28.25,28.25
ES,Spain,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2018,"3,200,907,333.00",0.00,"3,200,907,333.00","95,578,781.20",0.00,0.00,0.00,"95,578,781.20","208,962,222.57",0.00,"126,300,532.30","82,661,690.27","292,898,133.51",0.00,"292,898,133.51","471,138,604.98",14.72,14.72
ES,Spain,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2018,"590,255,000.00",0.00,"590,255,000.00","18,562,017.22",0.00,0.00,0.00,"18,562,017.22","39,688,793.26",0.00,"24,528,379.89","15,160,413.37","65,207,479.87",0.00,"65,207,479.87","98,929,910.46",16.76,16.76
ES,Spain,2014ES05SFOP021,Madrid - ESF,ESF,More developed,2018,"333,834,460.00",0.00,"333,834,460.00","10,983,153.72",0.00,0.00,0.00,"10,983,153.72","23,143,073.91",0.00,"14,513,453.13","8,629,620.78","49,706,562.67",0.00,"49,706,562.67","69,319,337.17",20.76,20.76
IT,Italy,2014IT05SFOP014,Sicilia  - ESF,ESF,Less developed,2018,"615,072,321.00",0.00,"615,072,321.00","17,345,039.46",0.00,0.00,0.00,"17,345,039.46","42,639,888.69",0.00,"26,740,269.18","15,899,619.51","76,411,918.40",0.00,"76,411,918.40","109,656,577.37",17.83,17.83
ES,Spain,2014ES05SFOP019,Cantabria - ESF,ESF,More developed,2018,"22,602,882.00",0.00,"22,602,882.00","743,634.78",0.00,0.00,0.00,"743,634.78","1,566,944.72",0.00,"982,660.25","584,284.47","3,717,795.91",0.00,"3,717,795.91","5,045,715.16",22.32,22.32
IT,Italy,2014IT16M2OP005,Research and Innovation - IT - ERDF/ESF,ESF,Less developed,2018,"186,961,995.00",0.00,"186,961,995.00","5,272,328.25",0.00,0.00,0.00,"5,272,328.25","12,961,140.28",0.00,"8,128,172.72","4,832,967.56","5,399,660.45",0.00,"5,399,660.45","15,504,956.26",8.29,8.29
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,More developed,2018,"27,352,319.00",0.00,"27,352,319.00","771,335.40",0.00,0.00,0.00,"771,335.40","1,896,199.53",0.00,"1,189,142.08","707,057.45","2,080,670.41",0.00,"2,080,670.41","3,559,063.26",13.01,13.01
IT,Italy,2014IT16M2OP005,Research and Innovation - IT - ERDF/ESF,ESF,Transition,2018,"16,744,320.00",0.00,"16,744,320.00","472,189.83",0.00,0.00,0.00,"472,189.83","1,160,800.00",0.00,"727,959.32","432,840.68","1,199,425.79",0.00,"1,199,425.79","2,104,456.30",12.57,12.57
ES,Spain,2014ES05SFOP010,Navarra - ESF,ESF,More developed,2018,"19,850,483.00",0.00,"19,850,483.00","646,760.03",0.00,0.00,0.00,"646,760.03","1,362,815.79",0.00,"854,647.19","508,168.60","1,780,191.09",0.00,"1,780,191.09","2,935,119.72",14.79,14.79
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,Transition,2018,"310,214,777.00",0.00,"310,214,777.00","6,165,929.21",0.00,0.00,0.00,"6,165,929.21","24,323,945.58",0.00,"7,972,788.68","16,351,156.90","82,177,066.42",0.00,"82,177,066.42","104,694,152.53",33.75,33.75
LT,Lithuania,2014LT05FMOP001,FEAD - Lithuania,FEAD,,2018,"77,202,641.00",0.00,"77,202,641.00","8,492,290.51",0.00,0.00,0.00,"8,492,290.51",0.00,0.00,0.00,0.00,"27,463,670.82",0.00,"27,463,670.82","35,955,961.33",46.57,46.57
ES,Spain,2014ES05SFOP011,País Vasco - ESF,ESF,More developed,2018,"54,735,444.00",0.00,"54,735,444.00","1,780,515.77",0.00,0.00,0.00,"1,780,515.77","3,751,801.08",0.00,"2,352,824.41","1,398,976.67","2,563,442.01",0.00,"2,563,442.01","5,742,934.45",10.49,10.49
IT,Italy,2014IT05SFOP002,Systems for Active Employment Policies - IT - ESF,ESF,Transition,2018,"32,325,724.00",0.00,"32,325,724.00","911,585.43",0.00,0.00,0.00,"911,585.43","2,240,980.83",0.00,"1,405,360.88","835,619.95","14,077,844.30","13,838.57","14,064,005.73","15,811,211.11",48.91,48.91
SI,Slovenia,2014SI05FMOP001,FEAD - Slovenia,FEAD,,2018,"20,512,235.00",0.00,"20,512,235.00","2,256,345.85",0.00,0.00,0.00,"2,256,345.85",0.00,0.00,0.00,0.00,"9,135,448.01",0.00,"9,135,448.01","11,391,793.86",55.54,55.54
IT,Italy,2014IT16M2OP003,Legality - IT - ERDF/ESF,ESF,Less developed,2018,"106,920,000.00",0.00,"106,920,000.00","2,479,344.00",0.00,0.00,0.00,"2,479,344.00","6,586,204.00",0.00,"3,822,322.00","2,763,882.00","5,369,771.66",0.00,"5,369,771.66","10,612,997.66",9.93,9.93
IT,Italy,2014IT05SFOP002,Systems for Active Employment Policies - IT - ESF,ESF,Less developed,2018,"1,017,406,231.00",0.00,"1,017,406,231.00","28,690,855.71",0.00,0.00,0.00,"28,690,855.71","70,531,686.96",0.00,"44,231,735.89","26,299,951.07","179,093,061.06","435,549.33","178,657,511.73","233,648,318.51",22.97,22.97
MT,Malta,2014MT05SFOP001,Investing in human capital - MT - ESF,ESF,Transition,2018,"105,893,448.00",0.00,"105,893,448.00","2,986,195.26",0.00,0.00,0.00,"2,986,195.26","7,341,063.35",0.00,"4,603,717.69","2,737,345.66","16,514,041.56",0.00,"16,514,041.56","22,237,582.48",21.00,21.00
IT,Italy,2014IT05SFOP002,Systems for Active Employment Policies - IT - ESF,ESF,More developed,2018,"55,168,006.00",0.00,"55,168,006.00","3,694,550.28",0.00,0.00,0.00,"3,694,550.28","7,121,858.00",0.00,"5,695,765.01","1,426,092.99","9,077,979.69","56,086.12","9,021,893.57","14,142,536.84",25.64,25.64
FR,France,2014FR05FMOP001,FEAD - France,FEAD,,2018,"499,281,315.00",0.00,"499,281,315.00","54,920,944.65",0.00,0.00,0.00,"54,920,944.65",0.00,0.00,0.00,0.00,"101,495,196.08","3,501,289.37","97,993,906.71","152,914,851.36",30.63,30.63
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,Less developed,2018,"289,008,601.00",0.00,"289,008,601.00","8,150,042.55",0.00,0.00,0.00,"8,150,042.55","20,035,521.27",0.00,"12,564,648.93","7,470,872.34","20,247,612.06",0.00,"20,247,612.06","35,868,526.95",12.41,12.41
IT,Italy,2014IT05SFOP009,Abruzzo  - ESF,ESF,Transition,2018,"71,251,575.00",0.00,"71,251,575.00","2,009,294.40",0.00,0.00,0.00,"2,009,294.40","4,939,515.40",0.00,"3,097,662.20","1,841,853.20","6,461,931.38",0.00,"6,461,931.38","10,313,078.98",14.47,14.47
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,More developed,2018,"148,372,955.00",0.00,"148,372,955.00","8,926,713.25",0.00,0.00,0.00,"8,926,713.25","18,047,440.20",0.00,"11,982,567.69","6,064,872.51","118,476,266.77",0.00,"118,476,266.77","133,467,852.53",89.95,89.95
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,Less developed,2018,"26,862,048.00",0.00,"26,862,048.00","489,626.24",0.00,0.00,0.00,"489,626.24","1,866,205.47",0.00,"635,498.69","1,230,706.78","6,510,634.96",0.00,"6,510,634.96","8,230,967.98",30.64,30.64
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,Transition,2018,"12,308,543.00",0.00,"12,308,543.00","347,100.90",0.00,0.00,0.00,"347,100.90","853,289.72",0.00,"535,113.89","318,175.83","847,712.65",0.00,"847,712.65","1,512,989.38",12.29,12.29
ES,Spain,2014ES05SFOP009,Galicia  - ESF,ESF,More developed,2018,"322,241,844.00",0.00,"322,241,844.00","10,302,403.79",0.00,0.00,0.00,"10,302,403.79","21,708,636.56",0.00,"13,613,890.72","8,094,745.84","44,964,735.79",0.00,"44,964,735.79","63,361,885.42",19.66,19.66
ES,Spain,2014ES05SFOP007,Cataluña  - ESF,ESF,More developed,2018,"304,742,845.00",0.00,"304,742,845.00","10,026,039.59",0.00,0.00,0.00,"10,026,039.59","21,126,297.71",0.00,"13,248,695.17","7,877,602.54","24,684,677.91",0.00,"24,684,677.91","42,588,320.04",13.98,13.98
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - ERDF/ESF/CF/YEI,ERDF,More developed,2018,"509,292,519.00",0.00,"509,292,519.00","14,336,249.88",0.00,0.00,0.00,"14,336,249.88","35,266,930.18",0.00,"22,101,718.56","13,165,211.62","66,963,169.89",0.00,"66,963,169.89","94,464,631.39",18.55,18.55
HR,Croatia,2014HR14MFOP001,Maritime and Fisheries - Croatia,EMFF,,2018,"252,643,138.00",0.00,"252,643,138.00","7,124,536.50",0.00,0.00,0.00,"7,124,536.50","17,514,485.58",0.00,"10,983,660.45","6,530,825.13","29,162,965.71",0.00,"29,162,965.71","42,818,327.34",16.95,16.95
ES,Spain,2014ES05SFTA001,Technical Assistance - ES - ESF,ESF,Transition,2018,"20,908,074.00",0.00,"20,908,074.00","731,782.59",0.00,0.00,0.00,"731,782.59","1,541,970.46",0.00,"966,998.42","574,972.04","1,065,861.43",0.00,"1,065,861.43","2,372,616.06",11.35,11.35
CZ,Czechia,2014CZ16M2OP001,Prague Growth Pole - ERDF/ESF,ERDF,More developed,2018,"153,611,659.00",0.00,"153,611,659.00","4,331,848.77",0.00,0.00,0.00,"4,331,848.77","10,649,128.23",0.00,"6,678,266.86","3,970,861.37","19,690,637.65",0.00,"19,690,637.65","27,993,347.79",18.22,18.22
DE,Germany,2014DE14MFOP001,Maritime and Fisheries - Germany,EMFF,,2018,"219,596,276.00",0.00,"219,596,276.00","6,192,614.97",0.00,0.00,0.00,"6,192,614.97","15,223,511.80",0.00,"9,546,948.08","5,676,563.72","46,232,604.51",0.00,"46,232,604.51","58,101,783.20",26.46,26.46
ES,Spain,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2018,"52,664,377.00",0.00,"52,664,377.00","1,609,293.14",0.00,0.00,0.00,"1,609,293.14","3,487,940.08",0.00,"2,126,565.94","1,361,374.14","9,069,814.81",0.00,"9,069,814.81","12,040,482.09",22.86,22.86
PL,Poland,2014PL14MFOP001,Maritime and Fisheries - Poland,EMFF,,2018,"531,219,456.00",0.00,"531,219,456.00","14,980,388.64",0.00,0.00,0.00,"14,980,388.64","36,826,788.75",0.00,"23,094,765.83","13,732,022.92","64,394,612.52",0.00,"64,394,612.52","93,107,024.08",17.53,17.53
BE,Belgium,2014BE05FMOP001,FEAD - Belgium,FEAD,,2018,"73,821,504.00",0.00,"73,821,504.00","8,120,365.44",0.00,0.00,0.00,"8,120,365.44",0.00,0.00,0.00,0.00,"35,528,420.33",0.00,"35,528,420.33","43,648,785.77",59.13,59.13
ES,Spain,2014ES05SFOP006,Castilla y León  - ESF,ESF,More developed,2018,"105,898,560.00",0.00,"105,898,560.00","3,247,433.74",0.00,0.00,0.00,"3,247,433.74","6,842,806.81",0.00,"4,291,251.73","2,551,555.08","4,991,855.77",0.00,"4,991,855.77","10,790,844.59",10.19,10.19
PT,Portugal,2014PT16M2OP001,Norte - ERDF/ESF,ESF,Less developed,2018,"659,966,183.00",0.00,"659,966,183.00","19,179,587.42",0.00,0.00,0.00,"19,179,587.42","40,414,130.64",0.00,"25,344,454.81","15,069,675.83","50,100,587.82",0.00,"50,100,587.82","84,349,851.07",12.78,12.78
PT,Portugal,2014PT16M2OP003,Alentejo - ERDF/ESF,ESF,Less developed,2018,"219,704,998.00",0.00,"219,704,998.00","6,076,794.38",0.00,0.00,0.00,"6,076,794.38","12,804,674.04",0.00,"8,030,049.84","4,774,624.20","25,696,875.43",0.00,"25,696,875.43","36,548,294.01",16.64,16.64
ES,Spain,2014ES05SFTA001,Technical Assistance - ES - ESF,ESF,Less developed,2018,"3,084,696.00",0.00,"3,084,696.00","107,964.36",0.00,0.00,0.00,"107,964.36","227,496.33",0.00,"142,667.19","84,829.14","157,253.06",0.00,"157,253.06","350,046.56",11.35,11.35
ES,Spain,2014ES05SFOP008,Ceuta  - ESF,ESF,More developed,2018,"10,543,817.00",0.00,"10,543,817.00","339,590.06",0.00,0.00,0.00,"339,590.06","715,564.76",0.00,"448,744.00","266,820.76","2,830,929.92",0.00,"2,830,929.92","3,437,340.74",32.60,32.60
IT,Italy,2014IT16RFOP005,Bolzano - ERDF,ERDF,More developed,2018,"68,310,599.00",0.00,"68,310,599.00","1,926,358.89",0.00,0.00,0.00,"1,926,358.89","4,735,632.27",0.00,"2,969,803.29","1,765,828.98","10,091,026.77",0.00,"10,091,026.77","13,783,214.64",20.18,20.18
IE,Ireland,2014IE05FMOP001,FEAD - Ireland,FEAD,,2018,"22,766,327.00",0.00,"22,766,327.00","2,504,295.97",0.00,"2,504,295.97","-2,504,295.97",0.00,0.00,0.00,0.00,0.00,"4,640,178.00",0.00,"4,640,178.00","4,640,178.00",20.38,20.38
ES,Spain,2014ES05SFOP005,Baleares  - ESF,ESF,More developed,2018,"47,326,640.00",0.00,"47,326,640.00","1,345,325.14",0.00,0.00,0.00,"1,345,325.14","2,834,792.26",0.00,"1,777,751.08","1,057,041.18","2,236,025.11",0.00,"2,236,025.11","4,638,391.43",9.80,9.80
SK,Slovakia,2014SK14MFOP001,Maritime and Fisheries - Slovakia,EMFF,,2018,"15,785,000.00",0.00,"15,785,000.00","445,137.00",0.00,0.00,0.00,"445,137.00","1,094,295.13",0.00,"686,252.88","408,042.25","602,401.75",0.00,"602,401.75","1,455,581.00",9.22,9.22
IT,Italy,2015IT16RFSM001,SME Initiative - IT - ERDF,ERDF,Less developed,2018,"294,840,000.00",0.00,"294,840,000.00","975,000.00",0.00,0.00,0.00,"975,000.00","7,190,625.00",0.00,"4,509,375.00","2,681,250.00","87,750,000.00",0.00,"87,750,000.00","91,406,250.00",31.00,31.00
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - ERDF/ESF/CF/YEI,ERDF,Less developed,2018,"907,392,844.00",0.00,"907,392,844.00","24,872,829.87",0.00,0.00,0.00,"24,872,829.87","61,801,717.73",0.00,"38,345,612.72","23,456,105.01","51,566,686.01",0.00,"51,566,686.01","99,895,620.89",11.01,11.01
RO,Romania,2014RO16M1OP001,Large Infrastructure Programme - RO - ERDF/CF,CF,,2018,"6,934,996,977.00",0.00,"6,934,996,977.00","260,755,886.36",0.00,0.00,0.00,"260,755,886.36","480,768,665.48",0.00,"301,498,993.61","179,269,671.87","1,079,932,436.56",0.00,"1,079,932,436.56","1,519,957,994.79",21.92,21.92
MT,Malta,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,CF,,2018,"217,742,109.00",0.00,"217,742,109.00","6,140,327.46",0.00,0.00,0.00,"6,140,327.46","15,094,971.68",0.00,"9,466,338.17","5,628,633.51","30,966,666.88",0.00,"30,966,666.88","42,735,627.85",19.63,19.63
DE,Germany,2014DE16RFOP011,Saarland  - ERDF,ERDF,More developed,2018,"143,289,081.00",0.00,"143,289,081.00","4,040,752.08",0.00,0.00,0.00,"4,040,752.08","9,933,515.54",0.00,"6,229,492.80","3,704,022.74","23,375,941.76",0.00,"23,375,941.76","31,120,716.58",21.72,21.72
RO,Romania,2014RO16M1OP001,Large Infrastructure Programme - RO - ERDF/CF,ERDF,Less developed,2018,"2,283,527,507.00",0.00,"2,283,527,507.00","93,255,012.16",0.00,0.00,0.00,"93,255,012.16","166,438,928.67",0.00,"107,826,107.81","58,612,820.86","310,050,151.44",0.00,"310,050,151.44","461,917,984.46",20.23,20.23
SK,Slovakia,2014SK16M1OP002,Quality of Environment - SK - ERDF/CF,CF,,2018,"1,861,112,261.00",0.00,"1,861,112,261.00","52,483,365.75",0.00,0.00,0.00,"52,483,365.75","129,021,607.47",0.00,"80,911,855.53","48,109,751.94","296,305,786.25","9,710,770.39","286,595,015.86","387,188,133.55",20.80,20.80
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,CF,,2018,"2,700,708,949.00",0.00,"2,700,708,949.00","76,159,992.36",0.00,0.00,0.00,"76,159,992.36","187,226,647.89",0.00,"117,413,321.56","69,813,326.33","1,019,117,321.51",0.00,"1,019,117,321.51","1,165,090,640.20",43.14,43.14
DE,Germany,2014DE05SFOP016,Bremen - ESF,ESF,More developed,2018,"76,161,404.00",0.00,"76,161,404.00","2,147,751.60",0.00,0.00,0.00,"2,147,751.60","5,279,889.36",0.00,"3,311,117.06","1,968,772.30","18,869,326.58",0.00,"18,869,326.58","22,985,850.48",30.18,30.18
ES,Spain,2014ES05SFTA001,Technical Assistance - ES - ESF,ESF,More developed,2018,"11,007,230.00",0.00,"11,007,230.00","385,253.05",0.00,0.00,0.00,"385,253.05","811,783.22",0.00,"509,084.39","302,698.83","561,131.65",0.00,"561,131.65","1,249,083.53",11.35,11.35
DE,Germany,2014DE16RFOP007,Hessen  - ERDF,ERDF,More developed,2018,"240,723,366.00",0.00,"240,723,366.00","6,788,398.89",0.00,0.00,0.00,"6,788,398.89","16,688,147.27",0.00,"10,465,448.29","6,222,698.98","36,982,872.85",0.00,"36,982,872.85","49,993,970.72",20.77,20.77
PT,Portugal,2014PT16M3OP001,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,ESF,Less developed,2018,"402,411,210.00",0.00,"402,411,210.00","18,354,456.30",0.00,0.00,0.00,"18,354,456.30","38,675,461.48",0.00,"24,254,102.96","14,421,358.52","27,143,943.63",0.00,"27,143,943.63","59,919,758.45",14.89,14.89
IT,Italy,2014IT05SFOP010,Umbria  - ESF,ESF,More developed,2018,"118,764,401.00",0.00,"118,764,401.00","3,349,156.11",0.00,0.00,0.00,"3,349,156.11","8,233,342.10",0.00,"5,163,282.33","3,070,059.77","15,283,816.97",0.00,"15,283,816.97","21,703,032.85",18.27,18.27
IT,Italy,2015IT16RFSM001,SME Initiative - IT - ERDF,ERDF,Transition,2018,"25,160,000.00",0.00,"25,160,000.00","25,000.00",0.00,0.00,0.00,"25,000.00","184,375.00",0.00,"115,625.00","68,750.00","2,250,000.00",0.00,"2,250,000.00","2,343,750.00",9.32,9.32
IT,Italy,2014IT14MFOP001,Maritime and Fisheries - Italy,EMFF,,2018,"537,262,559.00",0.00,"537,262,559.00","15,150,804.15",0.00,0.00,0.00,"15,150,804.15","37,245,726.88",0.00,"23,357,489.74","13,888,237.14","71,887,514.63",0.00,"71,887,514.63","100,926,555.92",18.79,18.79
PL,Poland,2014PL16M2OP006,Małolskie Voivodeship - ERDF/ESF,ESF,Less developed,2018,"809,628,262.00",0.00,"809,628,262.00","22,831,516.95",0.00,0.00,0.00,"22,831,516.95","56,127,479.18",0.00,"35,198,588.64","20,928,890.54","136,959,428.43","5,043,493.88","131,915,934.55","175,676,342.04",21.70,21.70
ES,Spain,2014ES05SFOP022,Andalucía - ESF,ESF,Transition,2018,"1,039,832,060.00",0.00,"1,039,832,060.00","31,405,629.36",0.00,0.00,0.00,"31,405,629.36","66,176,147.58",0.00,"41,500,295.94","24,675,851.64","132,172,165.84",0.00,"132,172,165.84","188,253,646.84",18.10,18.10
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ESF,Less developed,2018,"7,977,708.00",0.00,"7,977,708.00","239,331.24",0.00,0.00,0.00,"239,331.24","588,355.97",0.00,"368,969.00","219,386.97","1,264,683.26","5,350.56","1,259,332.70","1,718,050.91",21.54,21.54
DE,Germany,2014DE16RFOP003,Berlin - ERDF,ERDF,More developed,2018,"635,213,023.00",0.00,"635,213,023.00","17,913,007.26",0.00,0.00,0.00,"17,913,007.26","44,036,142.86",0.00,"27,615,886.20","16,420,256.66","156,998,113.51",0.00,"156,998,113.51","191,331,377.43",30.12,30.12
EE,Estonia,2014EE05FMOP001,FEAD - Estonia,FEAD,,2018,"8,002,026.00",0.00,"8,002,026.00","880,222.86",0.00,0.00,0.00,"880,222.86",0.00,0.00,0.00,0.00,"3,576,650.52",0.00,"3,576,650.52","4,456,873.38",55.70,55.70
RO,Romania,2014RO14MFOP001,Maritime and Fisheries - Romania,EMFF,,2018,"168,421,371.00",0.00,"168,421,371.00","6,332,643.56",0.00,0.00,0.00,"6,332,643.56","11,675,811.58",0.00,"7,322,119.13","4,353,692.45","26,850,034.09",0.00,"26,850,034.09","37,536,370.10",22.29,22.29
NL,Netherlands,2014NL16RFOP002,West Netherlands - ERDF,ERDF,More developed,2018,"190,588,176.00",0.00,"190,588,176.00","5,353,687.02",0.00,0.00,0.00,"5,353,687.02","13,180,305.19",0.00,"8,253,600.82","4,926,704.37","26,980,455.57",0.00,"26,980,455.57","37,260,846.96",19.55,19.55
DE,Germany,2014DE16RFOP008,Mecklenburg-Vorpommern  - ERDF,ERDF,Transition,2018,"967,806,184.00",0.00,"967,806,184.00","27,292,134.39",0.00,0.00,0.00,"27,292,134.39","67,093,163.72",0.00,"42,075,373.86","25,017,789.86","165,394,252.35",0.00,"165,394,252.35","217,704,176.60",22.49,22.49
GR,Greece,2014GR05FMOP001,FEAD - Greece,FEAD,,2018,"280,972,531.00",0.00,"280,972,531.00","30,906,978.41",0.00,0.00,0.00,"30,906,978.41",0.00,0.00,0.00,0.00,"44,527,788.62",0.00,"44,527,788.62","75,434,767.03",26.85,26.85
NL,Netherlands,2014NL16RFOP001,North Netherlands - ERDF,ERDF,More developed,2018,"104,282,942.00",0.00,"104,282,942.00","2,919,879.42",0.00,0.00,0.00,"2,919,879.42","7,197,194.81",0.00,"4,501,480.77","2,695,714.04","15,065,442.60",0.00,"15,065,442.60","20,681,036.06",19.83,19.83
ES,Spain,2014ES05SFOP020,Valenciana - ESF,ESF,More developed,2018,"177,408,383.00",0.00,"177,408,383.00","5,836,735.80",0.00,0.00,0.00,"5,836,735.80","12,298,836.15",0.00,"7,712,829.45","4,586,006.70","14,369,459.28",0.00,"14,369,459.28","24,792,201.78",13.97,13.97
NL,Netherlands,2014NL16RFOP004,East Netherlands - ERDF,ERDF,More developed,2018,"101,043,411.00",0.00,"101,043,411.00","2,828,524.59",0.00,0.00,0.00,"2,828,524.59","6,972,614.22",0.00,"4,360,642.08","2,611,972.14","16,304,145.89",0.00,"16,304,145.89","21,744,642.62",21.52,21.52
FI,Finland,2014FI05M2OP001,Entrepreneurship and skills Åland - ESF/ERDF,ESF,More developed,2018,"2,701,962.00",0.00,"2,701,962.00","75,377.52",0.00,0.00,0.00,"75,377.52","186,052.73",0.00,"116,207.02","69,845.71","900,817.85",0.00,"900,817.85","1,046,041.08",38.71,38.71
UK,United Kingdom,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2018,"114,082,855.00","-2,794,070.00","111,288,785.00","3,157,189.74",0.00,0.00,0.00,"3,157,189.74","7,816,376.03",0.00,"4,867,334.19","2,949,041.84","7,376,596.45",0.00,"7,376,596.45","13,482,828.03",12.12,11.82
UK,United Kingdom,2014UK16RFOP004,Scotland - ERDF,ERDF,More developed,2018,"364,831,248.00","-548,660.00","364,282,588.00","10,288,241.19",0.00,0.00,0.00,"10,288,241.19","25,291,926.26",0.00,"15,861,038.50","9,430,887.76","36,495,243.35",0.00,"36,495,243.35","56,214,372.30",15.43,15.41
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ESF,Transition,2018,"9,836,314.00",0.00,"9,836,314.00","295,089.42",0.00,0.00,0.00,"295,089.42","725,428.16",0.00,"454,929.52","270,498.64","2,104,080.69","8,901.84","2,095,178.85","2,660,766.91",27.05,27.05
HR,Croatia,2014HR06RDNP001,Croatia - National Rural Development,EAFRD,,2018,"2,026,222,500.00",0.00,"2,026,222,500.00","60,786,675.00",0.00,0.00,0.00,"60,786,675.00",0.00,0.00,0.00,0.00,"541,703,263.30",0.00,"541,703,263.30","602,489,938.30",29.73,29.73
ES,Spain,2014ES05SFOP004,Asturias - ESF,ESF,More developed,2018,"86,996,940.00",0.00,"86,996,940.00","2,862,199.31",0.00,0.00,0.00,"2,862,199.31","6,031,062.83",0.00,"3,782,191.95","2,248,870.88","13,544,787.27",0.00,"13,544,787.27","18,655,857.46",21.44,21.44
DE,Germany,2014DE05SFOP005,Berlin - ESF,ESF,More developed,2018,"215,088,592.00",0.00,"215,088,592.00","6,065,498.28",0.00,0.00,0.00,"6,065,498.28","14,911,016.60",0.00,"9,350,976.51","5,560,040.09","40,545,523.57",0.00,"40,545,523.57","52,171,061.94",24.26,24.26
DE,Germany,2014DE05SFOP009,Mecklenburg-Vorpommern - ESF,ESF,Transition,2018,"384,589,073.00",0.00,"384,589,073.00","10,845,411.87",0.00,0.00,0.00,"10,845,411.87","26,661,637.52",0.00,"16,720,009.97","9,941,627.55","67,442,945.69",0.00,"67,442,945.69","88,229,985.11",22.94,22.94
NL,Netherlands,2014NL16RFOP003,South Netherlands - ERDF,ERDF,More developed,2018,"114,368,174.00",0.00,"114,368,174.00","3,204,282.99",0.00,0.00,0.00,"3,204,282.99","7,896,353.58",0.00,"4,939,936.27","2,956,417.31","22,052,516.04",0.00,"22,052,516.04","28,213,216.34",24.67,24.67
DE,Germany,2014DE16RFOP006,Hamburg  - ERDF,ERDF,More developed,2018,"55,472,740.00",0.00,"55,472,740.00","1,564,331.28",0.00,0.00,0.00,"1,564,331.28","3,845,647.73",0.00,"2,411,677.39","1,433,970.34","13,720,031.44",0.00,"13,720,031.44","16,718,333.06",30.14,30.14
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ESF,More developed,2018,"13,957,017.00",0.00,"13,957,017.00","418,710.51",0.00,0.00,0.00,"418,710.51","1,029,330.01",0.00,"645,512.04","383,817.97","2,985,538.11","12,631.07","2,972,907.04","3,775,435.52",27.05,27.05
RO,Romania,2014RO05SFOP001,Administrative Capacity - RO - ESF,ESF,Less developed,2018,"451,419,312.00",0.00,"451,419,312.00","16,973,366.12",0.00,0.00,0.00,"16,973,366.12","31,294,643.79",0.00,"19,625,454.58","11,669,189.21","35,913,533.70",0.00,"35,913,533.70","64,556,089.03",14.30,14.30
GR,Greece,2014GR05M9OP001,Human Resources Development Education and Lifelong Learning - GR - ESF/YEI,YEI ESF Matching Component,,2018,"250,420,790.00",0.00,"250,420,790.00","6,860,681.17",0.00,0.00,0.00,"6,860,681.17","14,819,234.32",0.00,"7,932,662.59","6,886,571.73","68,496,895.69","4,148,291.41","64,348,604.28","78,095,857.18",31.19,31.19
ES,Spain,2014ES16RFOP004,Aragón  - ERDF,ERDF,More developed,2018,"117,164,270.00",0.00,"117,164,270.00","3,909,185.91",0.00,0.00,0.00,"3,909,185.91","8,237,213.17",0.00,"5,165,709.95","3,071,503.22","21,941,806.32",0.00,"21,941,806.32","28,922,495.45",24.69,24.69
